member,It V,It V NP,It V PP,It V PP comp S,It V comp S,NP NP V ADVP together,NP NP V together,NP V,NP V ADJ,NP V ADJ PP,NP V ADV,NP V ADV PP,NP V ADV together,NP V ADVP,NP V ADVP PP,NP V NP,NP V NP (PP),NP V NP ADJ,NP V NP ADJ PP,NP V NP ADJP,NP V NP ADJP PP,NP V NP ADV,NP V NP ADVP,NP V NP NP,NP V NP NP PP,NP V NP NP together,NP V NP PP,NP V NP PP PP,NP V NP PP S,NP V NP PP comp S,NP V NP S,NP V NP apart,NP V NP comp S,NP V NP down,NP V NP to be ADJ,NP V NP to be NP,NP V NP together,NP V NP up,NP V PP,NP V PP ADV,NP V PP NP,NP V PP NP S,NP V PP PP,NP V PP PP S,NP V PP PP comp S,NP V PP S,NP V PP comp S,NP V S,NP V apart,NP V comp S,NP V comp S PP,NP V out,NP V together,NP V together ADV,PP V NP,PP there V NP,Passive,That S V,There V NP,There V NP PP,There V PP NP
lightning#weather-57,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rejoin#mix-22.1-2-1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
wheeze#sound_emission-43.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
enlighten#amuse-31.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
can#pocket-9.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
repay#pay-68-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slim#other_cos-45.4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conform#adjust-26.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
chlorinate#remedy-45.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boycott#avoid-52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
