,telephone,agriculturalpop,energyconsume,illiterates,GNP,popxenergabs,incomeabs,popabs,unassessment,defenseexpabs,englishtitles,blocmembership0,usaidreceived,freedomofopposition0,IFCandIBRD,threats,accusations,killedforeignviolence,militaryaction,protests,killeddomesticviolence,riots,purges,demonstrations,catholics,airdistance,medicinengo,diplomatexpelled,divorces,popn/land,arable,area,roadlength,railroadlength,religions,immigrants/migrants,rainfall,largestrelgn,runningwater,foreigncollegestud,neutralblock,age,religioustitles,emigrants,seabornegoods,lawngos,unemployed,export,languages,largestlang,ethnicgrps,economicaidtaken,techassistancetaken,goveducationspend,femaleworkers,exports,foreignmail,imports,caloriesconsumed,protein,russiantitles,militarypersonnel,investments,politicalparties,artsculturengo,communistparty,govspending,monarchy,primaryschool,govchangelegal0,legitgov0,largestethnic,assassinations,majgovcrisis,unpaymentdelinq,balancepayments,balanceinvestments,systemstyle0,constitutional0,electoralsystem0,noncommunist,politicalleadership0,horizontalpower0,military0,bureaucracy0,censorship0,geographyx,geographyy,geographyz,blocmembership1,blocmembership2,freedomofopposition1,freedomofopposition2,govchangelegal1,govchangelegal2,legitgov1,systemstyle1,systemstyle2,constitutional1,constitutional2,electoralsystem1,electoralsystem2,politicalleadership1,politicalleadership2,horizontalpower2,military1,military2,bureaucracy1,bureaucracy2,censorship1,censorship2
Brazil,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,,1,0,0,0,,1,1,,,1,1,,,0,1,,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1
Burma,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,1,0,1,1,,0,0,0,1,,0,0,,1,0,1,1,0,0,1,1,1,0,0,,,1,0,,0,0,0,0,0,1,0,0,0,1,0,0,0,,0,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
China,0,1,0,1,0,1,,1,0,0,,1,0,1,,1,1,0,1,1,0,0,0,0,0,0,0,0,,0,,1,0,0,0,,1,0,,,1,0,,,,1,,,1,0,0,0,,,0,,,,,,,0,,0,0,1,,0,,0,0,1,0,0,0,,,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
Cuba,0,0,0,0,0,0,0,0,0,0,,1,0,1,,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,,0,0,1,0,0,1,1,0,0,1,1,0,,,0,,1,0,1,1,0,0,0,0,1,,0,,,,1,,0,1,0,1,0,0,1,0,1,1,0,1,,,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
Egypt,0,1,0,1,0,0,0,0,0,0,1,0,1,1,,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,,0,0,,0,1,,1,0,0,1,,1,1,0,1,0,,0,1,0,1,0,1,0,1,1,,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0
India,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,,1,1,0,0,,1,,1,1,,0,0,0,1,,0,0,,0,1,0,,1,1,,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1
Indonesia,0,1,0,1,0,0,0,0,,0,1,0,0,0,,1,0,0,1,0,1,1,1,1,0,1,0,0,,0,0,0,0,0,1,,1,1,,,0,1,,,1,0,,0,0,,,0,0,,1,0,0,0,,0,0,0,0,1,0,0,,0,1,1,0,0,1,1,0,,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0
Israel,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1
Jordan,0,0,0,1,0,0,0,0,0,0,,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,,0,1,0,1,,0,0,0,0,,0,1,,0,0,,1,0,0,0,0,0,1,1,0,0,,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
Netherlands,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,1,,1,1,0,1,1,0,0,0,0,1,0,,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1
