,gt.ns,cx.ns,ex.cx,cx.tr,et.cx,cx.ss,ex.ss,cx.st
It.V,It.V,It.V,It.V,It.V,It.V,It.V,It.V,It.V
It.V.NP.theme.OR..concrete.force.,It.V.NP.theme,It.V.NP,It.V.NP,It.V.NP.theme,It.V.NP.theme,It.V.NP.OR..concrete.force.,It.V.NP.OR..concrete.force.,It.V.NP.theme.OR..concrete.force.
It.V.that.S.stimulus,It.V.that.S,It.V.comp.S,It.V.that.S,It.V.comp.S.stimulus,It.V.that.S.stimulus,It.V.that.S,It.V.that.S,It.V.that.S.stimulus
It.V.that.S.theme,It.V.that.S,It.V.comp.S,It.V.that.S,It.V.comp.S.theme,It.V.that.S.theme,It.V.that.S,It.V.that.S,It.V.that.S.theme
It.V.to.NP.experiencer.animate.organization.that.S.stimulus,It.V.PP.experiencer.that.S,It.V.PP.comp.S,It.V.to.NP.that.S,It.V.PP.experiencer.comp.S.stimulus,It.V.to.NP.experiencer.that.S.stimulus,It.V.PP.animate.organization.that.S,It.V.to.NP.animate.organization.that.S,It.V.PP.experiencer.animate.organization.that.S.stimulus
It.V.with.NP.theme.OR..concrete.force.,It.V.PP.theme,It.V.PP,It.V.with.NP,It.V.PP.theme,It.V.with.NP.theme,It.V.PP.OR..concrete.force.,It.V.with.NP.OR..concrete.force.,It.V.PP.theme.OR..concrete.force.
NP.agent.V.NP.patient.refl.up,NP.V.NP.up,NP.V.NP.up,NP.V.NP.up,NP.agent.V.NP.patient.up,NP.agent.V.NP.patient.up,NP.V.NP.refl.up,NP.V.NP.refl.up,NP.agent.V.NP.patient.refl.up
NP.agent.V.NP.source,NP.V.NP.source,NP.V.NP,NP.V.NP,NP.agent.V.NP.source,NP.agent.V.NP.source,NP.V.NP,NP.V.NP,NP.agent.V.NP.source
NP.agent.V.NP.theme,NP.V.NP,NP.V.NP,NP.V.NP,NP.agent.V.NP.theme,NP.agent.V.NP.theme,NP.V.NP,NP.V.NP,NP.agent.V.NP.theme
NP.agent.V.NP.theme.animate,NP.V.NP.theme,NP.V.NP,NP.V.NP,NP.agent.V.NP.theme,NP.agent.V.NP.theme,NP.V.NP.animate,NP.V.NP.animate,NP.agent.V.NP.theme.animate
NP.agent.V.up.NP.patient.refl,NP.V.up.NP,NP.V.PP,NP.V.up.NP,NP.agent.V.PP.patient,NP.agent.V.up.NP.patient,NP.V.up.NP.refl,NP.V.up.NP.refl,NP.agent.V.up.NP.patient.refl
NP.agent.OR..abstract.animate..OR..animate.machine..V.NP.patient.concrete,NP.V.NP,NP.V.NP,NP.V.NP,NP.agent.V.NP.patient,NP.agent.V.NP.patient,NP.OR..abstract.animate..OR..animate.machine..V.NP.concrete,NP.OR..abstract.animate..OR..animate.machine..V.NP.concrete,NP.agent.OR..abstract.animate..OR..animate.machine..V.NP.patient.concrete
